,postcode,easting,northing,Unnamed: 0,price,date,type,seconds,years
15305507,S141FX,436998,383271,17922784,16000,2012-12-12 00:00,F,1355270400.0,2012.0
15603873,S80NX,434329,383728,11975835,94000,2005-04-15 00:00,T,1113519600.0,2005.0
15539358,S72BJ,434099,383831,11906005,146035,2005-10-03 00:00,T,1128294000.0,2005.0
15601405,S80BA,434515,382506,7918808,84000,2002-11-15 00:00,T,1037318400.0,2002.0
15283376,S118SB,433239,385978,12092783,90450,2005-05-31 00:00,F,1117494000.0,2005.0
15537737,S71LQ,434414,385295,19576611,298450,2014-08-29 00:00,S,1409266800.0,2014.0
15602912,S80HH,434379,382835,15912240,147000,2009-02-26 00:00,T,1235606400.0,2009.0
15611437,S88QW,434972,383098,19613185,258000,2014-11-24 00:00,S,1416787200.0,2014.0
15605242,S80UQ,434388,384257,18285579,85000,2013-11-18 00:00,T,1384732800.0,2013.0
15540033,S72DX,434143,384228,23644888,320000,2018-03-09 00:00,S,1520553600.0,2018.0
15323760,S23QR,436249,385696,18620528,155000,2013-10-31 00:00,S,1383177600.0,2013.0
15602839,S80HE,434426,382957,13303182,190000,2006-08-17 00:00,D,1155769200.0,2006.0
15304987,S141AB,436643,382706,9253578,199950,2003-12-12 00:00,D,1071187200.0,2003.0
15538273,S71PH,433899,384996,10221155,104000,2004-01-21 00:00,T,1074643200.0,2004.0
15540779,S72HD,433110,383401,21516825,750000,2016-08-05 00:00,D,1470351600.0,2016.0
15540352,S72ET,433260,384321,20836982,265000,2015-03-19 00:00,D,1426723200.0,2015.0
15611600,S88RQ,434975,382834,18709577,160000,2013-09-11 00:00,S,1378854000.0,2013.0
15541017,S72LP,433145,383042,8280857,135500,2002-07-26 00:00,S,1027638000.0,2002.0
15613781,S89GA,435244,384442,10244830,110000,2004-07-02 00:00,T,1088722800.0,2004.0
15605908,S87BG,434050,382054,15526494,235000,2008-08-04 00:00,D,1217804400.0,2008.0
15320900,S22GU,436873,385148,11184452,53000,2004-03-29 00:00,S,1080514800.0,2004.0
15538456,S71RJ,434151,384600,24188094,215251,2019-03-15 00:00,S,1552608000.0,2019.0
15614964,S89QB,435444,384408,10841411,120000,2004-06-25 00:00,T,1088118000.0,2004.0
